e1x,e2x,e1y,e2y,dist_eyes,nx,ny,nx+nw,ny+nh,nose_size,mx,my,mx+mw,my+mh,mouth_size
27,66,39,34,39.3192065,27,48,62,77,1015,30,78,64,98,680
28,65,39,35,37.21558813,27,48,62,77,1015,29,79,61,98,608
30,69,35,36,39.01281841,29,47,64,76,1015,29,78,60,97,589
32,69,38,37,37.01351105,31,48,64,75,891,29,78,63,98,680
28,67,37,36,39.01281841,30,49,61,75,806,29,79,60,98,589
29,66,36,36,37,29,48,61,74,832,28,79,60,98,608
70,30,36,37,40.01249805,28,48,65,78,1110,28,79,60,98,608
29,66,35,34,37.01351105,28,47,62,75,952,26,73,65,96,897
71,29,33,34,42.01190308,30,47,67,78,1147,31,80,62,98,558
33,66,34,36,33.06055051,30,47,67,78,1147,33,79,64,97,558
67,32,39,33,35.51056181,24,45,62,77,1216,33,79,64,97,558
68,28,33,34,40.01249805,28,46,64,76,1080,27,77,61,98,714
31,68,36,35,37.01351105,31,48,65,76,952,29,75,66,97,814
69,29,36,36,40,29,48,64,77,1015,29,78,63,98,680
25,65,36,33,40.11234224,26,47,63,78,1147,29,78,63,98,680
25,65,36,33,40.11234224,26,47,63,77,1110,29,78,63,98,680
25,65,36,33,40.11234224,28,49,63,78,1015,34,77,70,98,756
26,65,40,32,39.81205847,27,47,64,77,1110,33,76,71,99,874
65,26,32,40,39.81205847,28,47,64,77,1080,33,76,70,98,814
25,64,39,32,39.62322551,28,47,63,76,1015,34,77,69,98,735
34,67,36,39,33.13608305,34,53,68,81,952,32,80,62,98,540
26,65,41,32,40.02499219,28,49,64,79,1080,32,80,62,98,540
25,65,41,33,40.79215611,28,48,64,78,1080,36,78,68,97,608
25,66,41,33,41.77319715,28,49,64,79,1080,41,81,70,98,493
28,66,40,32,38.83297568,30,47,66,77,1080,37,78,71,98,680
27,67,41,33,40.79215611,28,47,64,77,1080,37,79,69,98,608
26,66,41,33,40.79215611,29,48,64,77,1015,36,80,68,99,608
26,68,41,34,42.57933771,29,50,65,80,1080,36,80,68,99,608
68,28,33,40,40.60788101,30,48,66,78,1080,36,80,68,99,608
29,69,41,33,40.79215611,30,48,66,78,1080,36,80,68,99,608
29,69,41,33,40.79215611,30,48,67,78,1110,41,81,69,97,448
67,33,39,34,34.36568055,29,47,63,76,986,24,76,55,94,558
29,68,40,33,39.62322551,31,50,65,78,952,37,81,67,99,540
26,67,39,34,41.30375286,28,49,64,79,1080,37,81,67,99,540
27,66,40,32,39.81205847,28,47,64,77,1080,37,81,67,99,540
27,66,40,32,39.81205847,28,48,64,78,1080,37,81,67,99,540
28,67,39,32,39.62322551,29,48,65,78,1080,37,81,67,99,540
28,67,39,32,39.62322551,30,48,64,76,952,34,78,70,99,756
42,28,11,40,32.20248438,31,46,67,76,1080,34,78,70,99,756
25,66,39,33,41.43669871,27,50,64,81,1147,40,82,68,98,448
25,65,39,33,40.44749683,27,50,64,81,1147,40,82,68,98,448
25,66,36,29,41.59326869,29,46,66,76,1110,33,77,70,99,814
71,33,35,32,38.11823711,30,49,71,83,1394,33,77,70,99,814
33,65,32,29,32.14031736,29,49,67,81,1216,38,77,69,96,589
26,65,39,29,40.26164428,29,48,66,79,1147,37,79,70,99,660
30,67,37,40,37.12142239,32,56,65,83,891,27,67,73,95,1288
28,61,30,34,33.24154028,32,54,74,89,1470,38,70,64,85,390
65,36,38,33,29.42787794,26,44,65,77,1287,25,72,65,96,960
67,33,37,32,34.36568055,23,45,61,77,1216,21,69,65,95,1144
71,30,40,42,41.0487515,23,45,61,77,1216,15,63,72,97,1938
69,29,41,42,40.01249805,23,45,61,77,1216,16,63,74,98,2030
69,29,41,42,40.01249805,22,49,60,81,1216,16,63,74,98,2030
69,29,41,42,40.01249805,24,48,62,80,1216,21,72,64,98,1118
70,35,37,37,35,34,51,71,82,1147,35,79,65,97,540
28,67,35,41,39.45883931,24,55,63,87,1248,35,79,65,97,540
67,28,41,37,39.20459157,25,55,63,86,1178,35,79,65,97,540
30,66,36,42,36.49657518,26,52,62,82,1080,23,74,63,98,960
30,66,36,42,36.49657518,32,51,68,81,1080,23,74,63,98,960
30,66,36,42,36.49657518,27,52,67,85,1320,27,71,72,98,1215
33,65,42,42,32,31,51,69,82,1178,28,74,68,98,960
35,64,41,39,29.06888371,31,50,70,83,1287,27,72,71,98,1144
34,67,37,37,33,32,48,67,77,1015,33,71,70,93,814
29,59,35,35,30,23,48,54,74,806,25,75,57,94,608
68,33,40,35,35.35533906,34,46,69,75,1015,30,77,65,98,735
71,33,37,37,38,31,54,73,89,1470,36,70,64,87,476
71,33,37,37,38,33,51,62,75,696,28,73,64,95,792
